0;0;0.0;0.0;-39473.098;-147.02274;-110.73532;-106.65659;16088.054;explore_def;4;0.0;DEFEAT
0;0;0.0;0.0;-39168.176;-145.93848;-110.89887;-106.67597;16174.933;explore_def;2;0.0;DEFEAT
0;1;0.0;28199.586;-68845.19;-144.40338;-105.74187;-114.475044;14158.746;explore_off;4;0.0;DEFEAT
0;1;0.0;28199.586;-66458.45;-146.39706;-103.793076;-111.25357;14769.787;explore_off;2;0.0;DEFEAT
0;1;0.0;27399.922;-74693.945;-138.89198;-108.48195;-121.96284;17101.887;follow;4;0.0;DEFEAT
0;1;0.0;27399.922;-79963.266;-136.95633;-106.840454;-123.91062;18055.799;follow;2;0.0;DEFEAT
0;0;0.0;0.0;-57949.848;-137.92526;-104.720535;-115.51653;14571.245;explore_def;4;0.0;DEFEAT
0;0;0.0;0.0;-93430.945;-136.55867;-114.64046;-129.03568;19912.34;follow;2;0.0;DEFEAT
0;0;0.0;0.0;-75191.875;-134.68185;-98.91789;-115.85517;19913.504;follow;4;0.0;DEFEAT
0;0;0.0;0.0;-59344.76;-138.74362;-90.00801;-106.02988;18228.2;explore_def;2;0.0;DEFEAT
1;1;27084.73;26470.107;-28941.15;-137.83163;-96.338554;-95.696434;17132.77;explore_def;4;0.0;DEFEAT
1;1;27084.73;26470.107;-19257.934;-141.16678;-96.268486;-93.16406;17323.254;explore_def;2;0.0;DEFEAT
0;0;0.0;0.0;-31401.426;-136.54947;-100.484726;-98.02583;15866.706;explore_def;4;0.0;DEFEAT
0;0;0.0;0.0;-31410.373;-138.52757;-100.27357;-97.65774;15661.834;explore_def;2;0.74164325;DEFEAT
